id,label
R00000,1
R00001,0
R00002,1
R00003,1
R00004,0
R00005,0
R00006,0
R00007,1
R00008,0
R00009,0
R00010,0
R00011,0
R00012,1
R00013,0
R00014,0
R00015,0
R00016,1
R00017,0
R00018,0
R00019,1
R00020,1
R00021,0
R00022,1
R00023,1
R00024,0
R00025,0
R00026,0
R00027,1
R00028,0
R00029,0
R00030,0
R00031,1
R00032,0
R00033,0
R00034,1
R00035,0
R00036,1
R00037,0
R00038,1
R00039,1
R00040,1
R00041,0
R00042,0
R00043,1
R00044,0
R00045,1
R00046,0
R00047,1
R00048,0
R00049,0
R00050,0
R00051,1
R00052,0
R00053,0
R00054,1
R00055,1
R00056,0
R00057,1
R00058,0
R00059,0
R00060,1
R00061,0
R00062,1
R00063,1
R00064,0
R00065,0
R00066,0
R00067,1
R00068,1
R00069,0
R00070,0
R00071,0
R00072,0
R00073,0
R00074,0
R00075,1
R00076,0
R00077,0
R00078,1
R00079,0
R00080,0
R00081,1
R00082,1
R00083,0
R00084,1
R00085,0
R00086,1
R00087,1
R00088,0
R00089,1
