id,asset,publish_time,source,title,body
R00000,000001.SZ,2025-01-02 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00001,000002.SZ,2025-01-02 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00002,000003.SZ,2025-01-02 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00003,000004.SZ,2025-01-02 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00004,000005.SZ,2025-01-02 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00005,000001.SZ,2025-01-03 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00006,000002.SZ,2025-01-03 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00007,000003.SZ,2025-01-03 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00008,000004.SZ,2025-01-03 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00009,000005.SZ,2025-01-03 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00010,000001.SZ,2025-01-06 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00011,000002.SZ,2025-01-06 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00012,000003.SZ,2025-01-06 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00013,000004.SZ,2025-01-06 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00014,000005.SZ,2025-01-06 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00015,000001.SZ,2025-01-07 09:30:00,research,000001.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00016,000002.SZ,2025-01-07 09:30:00,research,000002.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00017,000003.SZ,2025-01-07 09:30:00,research,000003.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00018,000004.SZ,2025-01-07 09:30:00,research,000004.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00019,000005.SZ,2025-01-07 09:30:00,research,000005.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00020,000001.SZ,2025-01-08 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00021,000002.SZ,2025-01-08 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00022,000003.SZ,2025-01-08 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00023,000004.SZ,2025-01-08 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00024,000005.SZ,2025-01-08 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00025,000001.SZ,2025-01-09 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00026,000002.SZ,2025-01-09 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00027,000003.SZ,2025-01-09 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00028,000004.SZ,2025-01-09 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00029,000005.SZ,2025-01-09 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00030,000001.SZ,2025-01-10 09:30:00,research,000001.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00031,000002.SZ,2025-01-10 09:30:00,research,000002.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00032,000003.SZ,2025-01-10 09:30:00,research,000003.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00033,000004.SZ,2025-01-10 09:30:00,research,000004.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00034,000005.SZ,2025-01-10 09:30:00,research,000005.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00035,000001.SZ,2025-01-13 09:30:00,research,000001.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00036,000002.SZ,2025-01-13 09:30:00,research,000002.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00037,000003.SZ,2025-01-13 09:30:00,research,000003.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00038,000004.SZ,2025-01-13 09:30:00,research,000004.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00039,000005.SZ,2025-01-13 09:30:00,research,000005.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00040,000001.SZ,2025-01-14 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00041,000002.SZ,2025-01-14 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00042,000003.SZ,2025-01-14 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00043,000004.SZ,2025-01-14 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00044,000005.SZ,2025-01-14 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00045,000001.SZ,2025-01-15 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00046,000002.SZ,2025-01-15 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00047,000003.SZ,2025-01-15 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00048,000004.SZ,2025-01-15 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00049,000005.SZ,2025-01-15 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00050,000001.SZ,2025-01-16 09:30:00,research,000001.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00051,000002.SZ,2025-01-16 09:30:00,research,000002.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00052,000003.SZ,2025-01-16 09:30:00,research,000003.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00053,000004.SZ,2025-01-16 09:30:00,research,000004.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00054,000005.SZ,2025-01-16 09:30:00,research,000005.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00055,000001.SZ,2025-01-17 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00056,000002.SZ,2025-01-17 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00057,000003.SZ,2025-01-17 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00058,000004.SZ,2025-01-17 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00059,000005.SZ,2025-01-17 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00060,000001.SZ,2025-01-20 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00061,000002.SZ,2025-01-20 09:30:00,research,000002.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00062,000003.SZ,2025-01-20 09:30:00,research,000003.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00063,000004.SZ,2025-01-20 09:30:00,research,000004.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00064,000005.SZ,2025-01-20 09:30:00,research,000005.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00065,000001.SZ,2025-01-21 09:30:00,research,000001.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00066,000002.SZ,2025-01-21 09:30:00,research,000002.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00067,000003.SZ,2025-01-21 09:30:00,research,000003.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
R00068,000004.SZ,2025-01-21 09:30:00,research,000004.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00069,000005.SZ,2025-01-21 09:30:00,research,000005.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00070,000001.SZ,2025-01-22 09:30:00,research,000001.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00071,000002.SZ,2025-01-22 09:30:00,research,000002.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 业绩预增 净利润同比增长
R00072,000003.SZ,2025-01-22 09:30:00,research,000003.SZ 研究跟踪 利空,公司最新公告显示 下降亏损风险 下调评级 风险提示
R00073,000004.SZ,2025-01-22 09:30:00,research,000004.SZ 研究跟踪 中性,公司最新公告显示 经营稳定
R00074,000005.SZ,2025-01-22 09:30:00,research,000005.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 上调公司评级
R00075,000001.SZ,2025-01-23 09:30:00,research,000001.SZ 研究跟踪 利好,公司最新公告显示 增长改善买入 提高目标价
